ticker,start_date,end_date,type
FTNT,2018-10-11 00:00:00,2023-12-31 00:00:00,S
FTR,2001-02-27 00:00:00,2017-03-17 00:00:00,S
FTV,2016-07-05 00:00:00,2023-12-31 00:00:00,S
FWLT,2000-01-03 00:00:00,2000-01-28 00:00:00,S
G,2000-01-03 00:00:00,2005-09-28 00:00:00,S
GAPTQ,2000-01-03 00:00:00,2000-08-25 00:00:00,S
GAS,2000-01-03 00:00:00,2016-06-27 00:00:00,S
GD,2000-01-03 00:00:00,2023-12-31 00:00:00,S
GDT,2000-01-03 00:00:00,2006-04-21 00:00:00,S
GDW,2000-01-03 00:00:00,2006-09-28 00:00:00,S
GE,2000-01-03 00:00:00,2023-12-31 00:00:00,S
GEHC,2023-01-04 00:00:00,2023-12-31 00:00:00,S
GEN,2022-11-08 00:00:00,2023-12-31 00:00:00,S
GENZ,2001-12-14 00:00:00,2011-04-01 00:00:00,S
GGP,2007-07-02 00:00:00,2018-08-20 00:00:00,S
GHC,2007-12-31 00:00:00,2014-09-19 00:00:00,S
GILD,2004-07-01 00:00:00,2023-12-31 00:00:00,S
GIS,2000-01-03 00:00:00,2023-12-31 00:00:00,S
GL,2019-08-08 00:00:00,2023-12-31 00:00:00,S
GLK,2000-01-03 00:00:00,2005-06-30 00:00:00,S
GLW,2000-01-03 00:00:00,2023-12-31 00:00:00,S
GM,2013-06-07 00:00:00,2023-12-31 00:00:00,S
GMCR,2014-03-24 00:00:00,2016-02-26 00:00:00,S
GME,2007-12-14 00:00:00,2016-04-20 00:00:00,S
GNRC,2021-03-22 00:00:00,2023-12-31 00:00:00,S
GNW,2005-12-02 00:00:00,2015-11-17 00:00:00,S
GOOG,2014-04-03 00:00:00,2023-12-31 00:00:00,S
GOOGL,2006-04-03 00:00:00,2023-12-31 00:00:00,S
GP,2000-01-03 00:00:00,2005-12-16 00:00:00,S
GPC,2000-01-03 00:00:00,2023-12-31 00:00:00,S
GPN,2016-04-25 00:00:00,2023-12-31 00:00:00,S
GPS,2000-01-03 00:00:00,2022-01-20 00:00:00,S
GPU,2000-01-03 00:00:00,2001-11-05 00:00:00,S
GR,2000-01-03 00:00:00,2012-07-26 00:00:00,S
GRA,2000-01-03 00:00:00,2000-12-08 00:00:00,S
GRMN,2012-12-12 00:00:00,2023-12-31 00:00:00,S
GS,2002-07-22 00:00:00,2023-12-31 00:00:00,S
GT,2000-01-03 00:00:00,2019-02-15 00:00:00,S
GTE,2000-01-03 00:00:00,2000-06-29 00:00:00,S
